iter	RMSE
403	7.507270901
404	7.503888809
405	7.501353026
406	7.500712221
407	7.495728842
408	7.49523382
409	7.49288186
410	7.488914247
411	7.485607997
412	7.484164488
413	7.481621502
414	7.479792185
415	7.475301881
416	7.47211118
417	7.467754513
418	7.466066485
419	7.463171125
420	7.460886585
421	7.460304346
422	7.458476024
423	7.458082344
424	7.454436973
425	7.45188744
426	7.448484707
427	7.447461579
428	7.444142467
429	7.442577049
430	7.440566313
431	7.438335848
432	7.434974709
433	7.43333232
434	7.431187067
435	7.430267959
436	7.428372163
437	7.425614949
438	7.42384257
439	7.420500442
440	7.416426269
441	7.412186949
442	7.410753038
443	7.407559809
444	7.4038253
445	7.401872184
446	7.400073746
447	7.394508773
448	7.39354195
449	7.391004308
450	7.38846449
451	7.387593566
452	7.385731286
453	7.381942879
454	7.379079399
455	7.376874963
456	7.372721067
457	7.37187314
458	7.36726997
459	7.366510093
460	7.366089767
461	7.36395098
462	7.360814221
463	7.36018779
464	7.35633254
465	7.353577485
466	7.352290191
467	7.349278961
468	7.347044964
469	7.342897959
470	7.339578584
471	7.338946522
472	7.336077086
473	7.335280572
474	7.332324405
475	7.328456052
476	7.326244729
477	7.324036771
478	7.320009769
479	7.316312111
480	7.312826251
481	7.312278048
482	7.310821471
483	7.310048353
484	7.305644116
485	7.30183645
486	7.299909298
487	7.297004869
488	7.296122846
489	7.294666916
490	7.291150618
491	7.290360848
492	7.289572825
493	7.286353855
494	7.282510212
495	7.281183855
496	7.279798622
497	7.278387547
498	7.276346448
499	7.27339619
500	7.270492345
501	7.266966912
502	7.266558078
503	7.264747065
504	7.263295689
505	7.258811555
506	7.25819185
507	7.256010293
508	7.255519428
509	7.255038264
510	7.252684785
511	7.248901192
512	7.247933629
513	7.244415788
514	7.241500656
515	7.238215434
516	7.235983668
517	7.234324364
518	7.231590674
519	7.228814336
520	7.224981962
521	7.223309733
522	7.21920474
523	7.218773187
524	7.217183991
525	7.214610019
526	7.212119707
527	7.210851388
528	7.208082671
529	7.204872496
530	7.203796676
531	7.202779139
532	7.200265579
533	7.198656331
534	7.195145299
535	7.194233163
536	7.191705638
537	7.190401369
538	7.187174096
539	7.185847193
540	7.182472243
541	7.179957259
542	7.178202969
543	7.174989582
544	7.171885659
545	7.169949601
546	7.168401728
547	7.165636465
548	7.164403013
549	7.162045633
550	7.160591757
551	7.158968474
552	7.157242107
553	7.154221783
554	7.152521994
555	7.149562945
556	7.14616597
557	7.143979202
558	7.140562873
559	7.137284742
560	7.135661322
561	7.134867556
562	7.134146944
563	7.133554212
564	7.132864411
565	7.130566381
566	7.128528974
567	7.126834595
568	7.125592273
569	7.124246091
570	7.123768028
571	7.123092648
572	7.122392042
573	7.122070147
574	7.121501442
575	7.118939965
576	7.114835658
577	7.113193218
578	7.112639258
579	7.108979807
580	7.106796623
581	7.105279237
582	7.102130745
583	7.101393536
584	7.099367656
585	7.096820708
586	7.09388683
587	7.093005842
588	7.091567054
589	7.089397307
590	7.087380946
591	7.083541604
592	7.080769827
593	7.079398404
594	7.077141206
595	7.076271329
596	7.073079296
597	7.069991704
598	7.069102113
599	7.06612361
600	7.064938948
601	7.061994077
602	7.060377059
603	7.05681045
604	7.056192029
605	7.052950114
606	7.051774986
607	7.049980811
608	7.048149896
609	7.044514114
610	7.042175144
611	7.039281304
612	7.037481882
613	7.037055419
614	7.034565912
615	7.030998835
616	7.030580666
617	7.029935823
618	7.028191363
619	7.026171139
620	7.025376627
621	7.023891712
622	7.021063533
623	7.018655694
624	7.014787751
625	7.010996194
626	7.008971642
627	7.006876189
628	7.004008994
629	7.002456087
630	7.000325601
631	6.998817054
632	6.995728398
633	6.994616338
634	6.993245986
635	6.991523759
636	6.989697965
637	6.986810623
638	6.985317126
639	6.983111255
640	6.982493732
641	6.980781747
642	6.978304681
643	6.977869863
644	6.976022067
645	6.973643352
646	6.971516206
647	6.970624784
648	6.968900024
649	6.964683296
650	6.962661092
651	6.962202955
652	6.961691491
653	6.959872271
654	6.957840476
655	6.955625901
656	6.953531086
657	6.952994091
658	6.951306279
659	6.949951921
660	6.948119322
661	6.945208457
662	6.943777367
663	6.942377161
664	6.939163195
665	6.938395967
666	6.934699662
667	6.932063562
668	6.929585312
669	6.927281779
670	6.924736213
671	6.922413817
672	6.92088546
673	6.917949954
674	6.914557158
675	6.911131949
676	6.9104624
677	6.909531374
678	6.907140226
679	6.906764167
680	6.90428729
681	6.901938989
682	6.901572757
683	6.899415775
684	6.899003811
685	6.897359337
686	6.895819573
687	6.894819361
688	6.894098647
689	6.891362536
690	6.889270802
691	6.887969665
692	6.885831086
693	6.882175715
694	6.88073036
695	6.879905844
696	6.878622909
697	6.875828766
698	6.875340815
699	6.873078924
700	6.869497417
701	6.867562324
702	6.865227501
703	6.863730228
704	6.863202969
705	6.860311286
706	6.858548104
707	6.856567944
708	6.854935348
709	6.854382389
710	6.85243258
711	6.85145529
712	6.850878695
713	6.850611657
714	6.850103455
715	6.848093287
716	6.845879496
717	6.845432076
718	6.843836519
719	6.842249982
720	6.840841339
721	6.83916888
722	6.838022863
723	6.837397499
724	6.835842523
725	6.834311814
726	6.832323324
727	6.831852398
728	6.829433092
729	6.826722362
730	6.825439741
731	6.823160223
732	6.822874227
733	6.820919847
734	6.81989509
735	6.819189325
736	6.818502253
737	6.815211566
738	6.812144742
739	6.809752083
740	6.806565614
741	6.805564404
742	6.804505838
743	6.802717167
744	6.798494139
745	6.7969944
746	6.794492814
747	6.791397416
748	6.79030392
749	6.788874761
750	6.786982073
751	6.784332216
752	6.782689167
753	6.781685794
754	6.77924695
755	6.778782526
756	6.777531263
757	6.776073267
758	6.774700128
759	6.772887081
760	6.770978359
761	6.770681713
762	6.768279629
763	6.767507472
764	6.765604137
765	6.762787361
766	6.760128078
767	6.75957267
768	6.758046154
769	6.756973439
770	6.755563676
771	6.753916397
772	6.751957722
773	6.750500284
774	6.749404305
775	6.746015715
776	6.744939742
777	6.742542595
778	6.74096234
779	6.739076117
780	6.737962745
781	6.736752412
782	6.734425003
783	6.734138819
784	6.730551606
785	6.730105844
786	6.72740307
787	6.725581218
788	6.724160204
789	6.722180552
790	6.720724663
791	6.719025752
792	6.717483107
793	6.715834201
794	6.714009468
795	6.71281132
796	6.710729042
797	6.709690319
798	6.707827519
799	6.706420797
800	6.705181019
801	6.701189895
802	6.700557049
803	6.699371386
804	6.69799485
805	6.697608817
806	6.694932273
807	6.692598036
808	6.692155838
809	6.690670403
810	6.68907883
811	6.688436138
812	6.686704805
813	6.684637156
814	6.683491527
815	6.681643727
816	6.680650928
817	6.679096262
818	6.677275385
819	6.675095637
820	6.673026851
821	6.669916405
822	6.668736027
823	6.667543407
824	6.663475842
825	6.662127771
826	6.658750957
827	6.657259838
828	6.654914835
829	6.653096605
830	6.652681981
831	6.651193202
832	6.649675363
833	6.647663513
834	6.646298357
835	6.645026796
836	6.644662238
837	6.641927807
838	6.64053166
839	6.638744613
840	6.638063122
841	6.636423762
842	6.634948141
843	6.634514327
844	6.634018489
845	6.63278144
846	6.630395531
847	6.628762961
848	6.628463883
849	6.626355289
850	6.625863689
851	6.62426517
852	6.622806158
853	6.620390366
854	6.617798371
855	6.615873221
856	6.614105008
857	6.613861667
858	6.612115
859	6.61163441
860	6.609630917
861	6.608359972
862	6.605707997
863	6.602684791
864	6.600868472
865	6.599195114
866	6.59879819
867	6.598131708
868	6.595945401
869	6.594782554
870	6.593650363
871	6.593175647
872	6.592550042
873	6.590821856
874	6.589416468
875	6.587916383
876	6.585665314
877	6.584326065
878	6.583969545
879	6.583290697
880	6.580204883
881	6.578644118
882	6.575700724
883	6.574194279
884	6.572993923
885	6.571360866
886	6.569940187
887	6.568105174
888	6.566193228
889	6.564086709
890	6.563580207
891	6.56044728
892	6.558120374
893	6.557429464
894	6.55696722
895	6.555616998
896	6.555258376
897	6.553631759
898	6.552452098
899	6.551066953
900	6.54968689
901	6.548467986
902	6.547313161
903	6.546021219
904	6.543383166
905	6.541924724
906	6.537976986
907	6.537577043
908	6.535994738
909	6.534952204
910	6.5334806
911	6.532170754
912	6.530960298
913	6.529353299
914	6.527962036
915	6.526879323
916	6.525374847
917	6.522785813
918	6.52246468
919	6.519886766
920	6.517803071
921	6.517417297
922	6.515702079
923	6.514497269
924	6.512990764
925	6.511504566
926	6.509919756
927	6.50674013
928	6.505172801
929	6.502855501
930	6.501765638
931	6.500749084
932	6.499152223
933	6.496527046
934	6.494584685
935	6.492887137
936	6.491229737
937	6.490008758
938	6.489027856
939	6.487855766
940	6.485764523
941	6.484468641
942	6.483787724
943	6.481901348
944	6.47916174
945	6.475953217
946	6.474236584
947	6.473078672
948	6.472060439
949	6.471358588
950	6.47036122
951	6.469175425
952	6.467109126
953	6.466172188
954	6.464974952
955	6.463932583
956	6.462242256
957	6.460815664
958	6.459766658
959	6.458668715
960	6.457729276
961	6.457355262
962	6.456223312
963	6.454337214
964	6.454077313
965	6.452572193
966	6.451135534
967	6.450762859
968	6.449347046
969	6.447613716
970	6.445784699
971	6.44517927
972	6.443061489
973	6.441979814
974	6.440698096
975	6.438538196
976	6.435869383
977	6.43463746
978	6.433156298
979	6.430952405
980	6.429524011
981	6.428146535
982	6.425812435
983	6.425429239
984	6.425227925
985	6.423707446
986	6.422753431
987	6.421255881
988	6.420418628
989	6.419241678
990	6.418227027
991	6.417112939
992	6.414446612
993	6.413655274
994	6.412787084
995	6.411392201
996	6.410640808
997	6.410220183
998	6.408606421
999	6.406888413
